title,year,total_words,unique_words,scene_count
Mean Streets,1973,3115,1266,55
Goodfellas,1990,6091,1770,129
Casino,1995,12150,2532,389
The Departed,2006,4291,1533,66
The Irishman,2019,6370,1993,178
